#{"t_start": 1781113351.5034025, "env_id": "None"}
r,l,t
133.364669,58,1.307648
113.714244,52,1.499077
110.106417,50,1.686144
98.548063,48,1.870522
94.635894,48,2.053002
88.789107,46,2.231831
135.019994,57,2.451222
124.642051,54,2.652833
190.160799,69,2.908514
123.702774,53,3.111154
152.391956,63,3.351273
250.148412,83,3.666014
130.472096,55,3.87363
119.674534,54,4.080258
155.850016,60,4.313173
122.463941,55,4.52372
111.86013,51,4.718239
120.924188,53,4.92143
221.356258,77,5.212025
155.155016,60,5.444347
185.02475,69,5.713114
163.16553,64,5.962203
109.785247,50,6.153354
162.300166,62,6.39156
97.127112,48,6.581457
85.196333,46,6.75654
84.973445,46,6.939042
148.601095,59,7.169133
124.911294,54,7.372698
150.525456,61,7.606695
134.34521,57,7.830572
141.890682,58,8.061027
155.477974,61,8.29368
107.776225,51,8.491176
125.931053,55,8.706594
116.062402,52,8.911128
85.554542,44,9.419784
133.253591,57,9.657024
113.319101,51,9.859954
71.498349,42,10.031274
88.762864,46,10.208672
126.929545,55,10.421632
207.882726,74,10.704606
139.207086,57,10.927931
118.125551,53,11.14301
115.751917,52,11.341309
113.977803,51,11.545674
111.30979,51,11.741365
159.82841,63,11.987141
119.361953,54,12.198243
270.32671,87,12.537044
86.586969,46,12.721311
116.667015,53,12.926336
90.75674,47,13.117184
191.057557,70,13.389969
186.79807,68,13.662907
123.107722,54,13.876287
141.131994,57,14.109986
165.50875,64,14.386249
123.545782,55,14.610378
93.650926,47,14.787642
112.615918,52,14.996053
168.999042,65,15.25021
132.100578,57,15.463928
136.406125,57,15.68527
115.97737,52,15.882795
108.30303,52,16.080482
132.484681,55,16.28949
274.3125,88,16.619741
99.981896,48,16.800086
86.160557,46,16.977519
107.844066,51,17.171824
110.522268,50,17.698322
192.668854,71,18.006909
105.103341,50,18.192506
199.427785,72,18.45409
105.693924,50,18.635315
96.695853,48,18.81481
93.557478,48,18.994068
158.566977,62,19.224186
156.462665,61,19.446492
113.06001,51,19.633419
106.222165,50,19.816285
156.688132,62,20.043309
130.754588,56,20.24241
147.156673,59,20.458711
139.904916,59,20.666676
127.504607,54,20.867727
137.162668,58,21.084439
89.817649,47,21.258223
127.134745,55,21.456341
149.2306,60,21.677403
109.015258,51,21.865547
108.964188,51,22.057572
184.998742,68,22.312029
71.525451,42,22.470128
79.707538,43,22.625198
119.010976,52,22.825347
241.647357,83,23.142576
132.048968,56,23.353009
140.689189,58,23.570271
108.615208,51,23.766024
183.237351,68,24.024889
113.645114,52,24.217884
89.185082,46,24.391219
214.58189,75,24.673849
125.381988,54,24.877971
67.525313,42,25.036549
113.842196,52,25.230646
143.379425,59,25.844209
121.36088,54,26.051865
124.069348,55,26.252402
121.150909,53,26.448626
118.570458,52,26.641903
136.829497,57,26.855494
137.918082,57,27.078788
118.32896,53,27.282643
135.441788,56,27.492996
120.715456,53,27.688056
